iter	Passed	Remaining
466	713	813
467	713	811
468	714	808
469	715	806
470	715	803
471	716	801
472	716	798
473	717	796
474	718	793
475	718	791
476	719	788
477	720	786
478	721	785
479	724	784
480	724	782
481	725	779
482	726	777
483	727	775
484	727	772
485	728	770
486	729	768
487	729	765
488	730	763
489	731	760
490	731	758
491	732	756
492	732	753
493	733	751
494	734	749
495	734	746
496	736	745
497	737	743
498	738	741
499	739	739
500	739	736
501	740	734
502	741	732
503	742	730
504	742	728
505	743	725
506	744	723
507	744	721
508	745	719
509	746	716
510	746	714
511	747	712
512	748	710
513	751	710
514	752	708
515	753	706
516	753	704
517	754	702
518	755	699
519	755	697
520	756	695
521	757	693
522	757	691
523	758	688
524	759	686
525	759	684
526	760	682
527	761	680
528	761	678
529	762	676
530	763	674
531	767	674
532	767	672
533	768	670
534	769	668
535	769	666
536	770	664
537	771	662
538	771	659
539	772	657
540	772	655
541	773	653
542	774	651
543	775	649
544	775	647
545	776	645
546	776	643
547	777	641
548	777	639
549	778	637
550	780	636
551	781	634
552	782	632
553	783	630
554	783	628
555	784	626
556	785	624
557	785	622
558	786	620
559	787	618
560	787	616
561	788	614
562	788	612
563	789	610
564	790	608
565	790	606
566	791	604
567	792	602
568	792	600
569	794	599
570	795	597
571	796	595
572	796	593
573	797	591
574	798	589
575	798	588
576	799	586
577	800	584
578	800	582
579	801	580
580	801	578
581	802	576
582	803	574
583	803	572
584	804	570
585	804	568
586	805	566
587	805	564
588	806	563
589	812	564
590	813	562
591	814	561
592	814	559
593	815	557
594	816	555
595	816	553
596	817	551
597	818	550
598	818	548
599	819	546
600	820	544
601	820	542
602	821	540
603	826	541
604	827	540
605	828	538
606	829	536
607	829	534
608	830	533
609	831	531
610	831	529
611	832	527
612	833	525
613	833	524
614	834	522
615	834	520
616	835	518
617	836	516
618	838	516
619	840	515
620	841	513
621	841	511
622	842	509
623	843	508
624	843	506
625	844	504
626	845	502
627	845	500
628	846	499
629	846	497
630	847	495
631	848	493
632	848	492
633	849	490
634	849	488
635	850	486
636	851	485
637	853	484
638	854	482
639	855	481
640	856	479
641	856	477
642	857	476
643	858	474
644	858	472
645	859	470
646	860	469
647	860	467
648	862	466
649	863	464
650	864	463
651	864	461
652	865	459
653	867	458
654	869	458
655	870	456
656	871	455
657	872	453
658	873	451
659	874	450
660	874	448
661	875	447
662	876	445
663	876	443
664	877	442
665	878	440
666	879	438
667	879	437
668	880	435
669	884	435
670	885	434
671	886	432
672	887	431
673	887	429
674	888	427
675	889	426
676	890	424
677	891	423
678	891	421
679	892	420
680	893	418
681	893	416
682	894	415
683	895	413
684	897	412
685	899	411
686	900	410
687	901	408
688	901	407
689	902	405
690	903	404
691	904	402
692	905	400
693	905	399
694	906	397
695	908	396
696	909	395
697	910	394
698	917	395
699	919	393
700	919	392
701	920	390
702	921	389
703	922	388
704	923	386
705	924	385
706	925	383
707	926	381
708	930	381
709	932	380
710	933	379
711	935	378
712	936	377
713	937	375
714	938	374
715	939	372
716	942	371
717	944	371
718	945	369
719	946	368
720	947	366
721	952	366
722	953	365
723	954	363
724	955	362
725	956	360
726	956	359
727	957	357
728	958	356
729	959	354
730	960	353
731	961	351
732	962	350
733	968	351
734	970	349
735	971	348
736	972	346
737	973	345
738	974	344
739	978	343
740	983	343
741	984	342
742	986	341
743	987	339
744	988	338
745	990	337
746	991	335
747	992	334
748	993	333
749	997	332
750	1000	331
751	1004	331
752	1004	329
753	1005	328
754	1006	326
755	1007	325
756	1013	325
757	1014	323
758	1014	322
759	1016	320
760	1017	319
761	1018	318
762	1020	316
763	1021	315
764	1022	313
765	1022	312
766	1023	311
767	1028	310
768	1029	309
769	1030	307
770	1031	306
771	1036	306
772	1037	304
773	1038	303
774	1039	301
775	1040	300
776	1042	299
777	1043	297
778	1044	296
779	1045	294
780	1046	293
781	1047	291
782	1048	290
783	1048	288
784	1049	287
785	1050	285
786	1051	284
787	1051	282
788	1052	281
789	1053	280
790	1058	279
791	1059	278
792	1060	276
793	1062	275
794	1063	274
795	1064	272
796	1065	271
797	1066	269
798	1067	268
799	1067	266
800	1068	265
801	1069	263
802	1072	263
803	1073	261
804	1074	260
805	1075	258
806	1077	257
807	1078	256
808	1079	254
809	1080	253
810	1083	252
811	1083	250
812	1085	249
813	1088	248
814	1088	247
815	1089	245
816	1090	244
817	1091	242
818	1091	241
819	1092	239
820	1093	238
821	1093	236
822	1094	235
823	1095	233
824	1095	232
825	1096	231
826	1097	229
827	1098	228
828	1098	226
829	1099	225
830	1101	224
831	1103	222
832	1103	221
833	1104	219
834	1105	218
835	1106	216
836	1107	215
837	1108	214
838	1109	212
839	1109	211
840	1110	209
841	1111	208
842	1111	207
843	1112	205
844	1113	204
845	1116	203
846	1117	201
847	1118	200
848	1119	199
849	1119	197
850	1120	196
851	1121	194
852	1121	193
853	1122	191
854	1123	190
855	1123	189
856	1124	187
857	1125	186
858	1125	184
859	1126	183
860	1127	181
861	1127	180
862	1128	179
863	1129	177
864	1131	176
865	1132	175
866	1133	173
867	1134	172
868	1135	171
869	1136	169
870	1136	168
871	1137	166
872	1138	165
873	1139	164
874	1139	162
875	1140	161
876	1140	160
877	1141	158
878	1142	157
879	1143	155
880	1147	154
881	1147	153
882	1148	152
883	1149	150
884	1149	149
885	1150	148
886	1151	146
887	1151	145
888	1152	143
889	1153	142
890	1154	141
891	1155	139
892	1155	138
893	1156	137
894	1157	135
895	1159	134
896	1162	133
897	1163	132
898	1164	130
899	1165	129
900	1165	128
901	1166	126
902	1167	125
903	1168	124
904	1169	122
905	1170	121
906	1170	120
907	1171	118
908	1172	117
909	1177	116
910	1178	115
911	1179	113
912	1179	112
913	1180	111
914	1181	109
915	1181	108
916	1182	107
917	1183	105
918	1183	104
919	1184	102
920	1184	101
921	1185	100
922	1186	98
923	1187	97
924	1187	96
925	1188	94
926	1192	93
927	1192	92
928	1193	91
929	1194	89
930	1194	88
931	1195	87
932	1196	85
933	1196	84
934	1197	83
935	1198	81
936	1198	80
937	1199	79
938	1199	77
939	1200	76
940	1201	75
941	1201	73
942	1202	72
943	1203	71
944	1206	70
945	1208	68
946	1208	67
947	1209	66
948	1210	65
949	1211	63
950	1211	62
951	1212	61
952	1213	59
953	1214	58
954	1214	57
955	1215	55
956	1216	54
957	1217	53
958	1217	52
959	1218	50
960	1220	49
961	1221	48
962	1221	46
963	1222	45
964	1223	44
965	1224	43
966	1224	41
967	1225	40
968	1225	39
969	1226	37
970	1227	36
971	1228	35
972	1228	34
973	1229	32
974	1231	31
975	1234	30
976	1235	29
977	1235	27
978	1236	26
979	1237	25
980	1237	23
981	1238	22
982	1238	21
983	1239	20
984	1240	18
985	1240	17
986	1241	16
987	1242	15
988	1242	13
989	1243	12
990	1243	11
991	1244	10
992	1245	8
993	1249	7
994	1249	6
995	1250	5
996	1251	3
997	1251	2
998	1252	1
999	1253	0
